node_id,r_m,z_m,T_K
484,0.045,0.095,564.6880827
485,0.05,0.095,564.6863122
486,0.055,0.095,526.8657506
487,0.06,0.095,492.4810073
488,0.065,0.095,461.1103451
489,0.07,0.095,432.3954913
490,0.075,0.095,406.0291924
491,0.08,0.095,381.7206166
492,0.085,0.095,359.2063325
493,0.09,0.095,338.2327439
494,0.095,0.095,318.5710154
495,0.1,0.095,300.0049592
496,0.105,0.095,300.0042041
497,0.11,0.095,300.0026406
498,0.115,0.095,300.0013192
499,0.12,0.095,300
500,0,0.1,564.7055093
501,0.005,0.1,564.7052998
502,0.01,0.1,564.7046687
503,0.015,0.1,564.7036179
504,0.02,0.1,564.7021393
505,0.025,0.1,564.7002479
506,0.03,0.1,564.6978832
507,0.035,0.1,564.695194
508,0.04,0.1,564.6915907
509,0.045,0.1,564.6885947
510,0.05,0.1,564.6800421
511,0.055,0.1,526.9378796
512,0.06,0.1,492.6091027
513,0.065,0.1,461.2760399
514,0.07,0.1,432.5773717
515,0.075,0.1,406.2078462
516,0.08,0.1,381.8799006
517,0.085,0.1,359.3340406
518,0.09,0.1,338.3211693
519,0.095,0.1,318.6154294
520,0.1,0.1,300.0073738
521,0.105,0.1,300.0041371
522,0.11,0.1,300.0028396
523,0.115,0.1,300.001318
524,0.12,0.1,300
525,0,0.105,564.7052954
526,0.005,0.105,564.7050855
527,0.01,0.105,564.7044558
528,0.015,0.105,564.7034046
529,0.02,0.105,564.7019337
530,0.025,0.105,564.7000337
531,0.03,0.105,564.6977328
532,0.035,0.105,564.6949548
533,0.04,0.105,564.691993
534,0.045,0.105,564.6880857
535,0.05,0.105,564.6863149
536,0.055,0.105,526.8657526
537,0.06,0.105,492.4810088
538,0.065,0.105,461.1103457
539,0.07,0.105,432.3954912
540,0.075,0.105,406.0291915
541,0.08,0.105,381.7206149
542,0.085,0.105,359.2063302
543,0.09,0.105,338.232741
544,0.095,0.105,318.571012
545,0.1,0.105,300.0049561
546,0.105,0.105,300.0042013
547,0.11,0.105,300.0026386
548,0.115,0.105,300.0013182
549,0.12,0.105,300
550,0,0.11,564.7046455
551,0.005,0.11,564.7044379
552,0.01,0.11,564.7038087
553,0.015,0.11,564.7027617
554,0.02,0.11,564.7012868
555,0.025,0.11,564.6993996
